ISO3,Mean_EDI_2010_2015,SD_EDI_2010_2015,N_Years,Mean_ART_2010_2015,Country_Raw
TCD,0.12681455898417485,0.3545207348783121,6,23.5,TCD
TGO,-0.07592929796891548,0.45755156981889433,6,32.333333333333336,TGO
THA,0.30852074676054647,0.1500983042455641,6,42.5,THA
TJK,0.2952116885345906,0.3470619057229835,6,12.833333333333334,TJK
TLS,0.36277095682515914,0.028428571338136734,6,11.333333333333334,TLS
TUN,0.09093364117336027,0.1404966772124329,6,10.5,TUN
TZA,0.18473962006347236,0.14436192898690567,6,31.666666666666668,TZA
UGA,-0.2649326880860922,0.13396681831772658,6,35.833333333333336,UGA
VNM,0.3643928898118953,0.21949970532194482,6,37.166666666666664,VNM
YEM,-0.2569218099058481,0.47837978630020617,6,10.666666666666666,YEM
ZAF,-0.5672197341894536,0.11390813400776319,6,41.0,ZAF
ZMB,0.04818342937547984,0.04793646623921539,6,50.666666666666664,ZMB
ZWE,-0.6141251499849069,0.2560660405371217,6,44.333333333333336,ZWE
