ISO3,Country_Raw,Year,New_Infections,Predicted_Infections,EDI_Raw,ART_Coverage
CUB,CUB,2013.0,2200.0,2044.7897326887905,0.3441442458600633,38.0
CUB,CUB,2014.0,2100.0,2059.4597819426835,0.08925181091908843,44.0
CUB,CUB,2015.0,2100.0,1967.3161162671747,0.30572207499949733,51.0
DEU,DEU,2011.0,2300.0,2719.8588450495645,-0.7007581332754985,72.0
DEU,DEU,2012.0,2400.0,2500.3539557363097,-0.18213768910781644,75.0
DEU,DEU,2013.0,2400.0,2582.5994196841684,-0.3208973467917152,77.0
DEU,DEU,2014.0,2400.0,2576.5323849963524,-0.31096283513829875,78.0
DEU,DEU,2015.0,2300.0,2576.1763915053257,-0.486553296262196,80.0
DJI,DJI,2010.0,910.0,939.6245555420228,-0.14210643190303773,6.0
DJI,DJI,2011.0,750.0,865.701177890057,-0.6018461429683167,7.0
DJI,DJI,2012.0,640.0,704.3550864684182,-0.4103409791105372,9.0
DJI,DJI,2013.0,550.0,595.721646600418,-0.3437962687359569,10.0
DJI,DJI,2014.0,500.0,506.4903434015258,-0.057231409075126936,12.0
DJI,DJI,2015.0,500.0,458.2199349875368,0.40638161333258993,16.0
DNK,DNK,2010.0,200.0,212.42551592715017,-0.2544009050586477,65.0
DNK,DNK,2011.0,200.0,211.17828658960946,-0.23015621737602138,69.0
DNK,DNK,2012.0,200.0,210.05989734894698,-0.20818223001768565,73.0
DNK,DNK,2013.0,200.0,208.86173144669826,-0.1843915157432803,73.0
DNK,DNK,2014.0,200.0,208.06890636546896,-0.16850543220239464,80.0
DNK,DNK,2015.0,200.0,207.66842393652507,-0.16043682772350534,80.0
DOM,DOM,2010.0,4700.0,4633.997570991821,0.06475838061177594,20.0
DOM,DOM,2011.0,4400.0,4420.431180865231,-0.02101231497987749,23.0
DOM,DOM,2012.0,4300.0,4103.914450748622,0.2171771196143779,26.0
DOM,DOM,2013.0,4100.0,3981.6455617206734,0.13509994221701038,28.0
